,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
722,1293,murder on the orient express,11,5,8,71
723,1294,bad times at the el royale,11,5,8,71
724,1295,heojil kyolshim,11,5,8,71
725,1298,veronica mars,11,5,8,71
726,1299,father brown,11,5,8,71
727,1301,broadchurch,11,5,8,71
728,1303,grace,11,5,8,71
729,1306,american gigolo,11,5,8,71
730,1307,remington steele,10,1,0,149
731,1309,wind river,11,5,8,71
732,1311,promising young woman,11,5,8,71
733,1315,clue,2,14,8,245
734,1317,ncis: new orleans,10,14,1,32
735,1320,burn notice,10,14,1,32
736,1321,the sixth sense,3,0,7,124
737,1324,cold case,11,5,8,71
738,1325,the hateful eight,11,5,8,71
739,1326,the fugitive,10,14,1,32
740,1327,the killing,11,5,8,71
741,1329,rizzoli &amp; isles,11,5,8,71
742,1332,fbi: most wanted,10,14,1,32
743,1333,nypd blue,11,5,8,71
744,1335,zootopia,4,1,0,30
745,1336,flowers in the attic,3,0,7,124
746,1339,mind over murder,6,3,16,434
747,1340,macgyver,10,1,1,328
748,1342,basic instinct,3,0,7,124
749,1343,alias,10,5,8,69
750,1344,fast x,10,14,8,106
751,1349,stay close,11,5,8,71
752,1351,the devil's advocate,3,0,7,124
753,1363,elvis,0,5,6,448
754,1377,ted lasso,2,5,5,193
755,1380,hustle,2,5,5,193
756,1382,house of gucci,0,14,1,99
757,1392,modern family,2,5,14,219
758,1409,goodfellas,0,14,1,99
759,1416,this is us,2,5,14,219
760,1423,bridgerton,3,11,14,236
761,1429,atlanta,2,5,6,244
762,1440,the crown,0,5,15,254
763,1441,the wolf of wall street,0,2,16,257
764,1446,we own this city,0,14,1,99
765,1461,the o.c.,2,5,14,219
766,1462,sex/life,2,5,14,219
767,1464,coda,2,5,6,244
768,1468,"hello, goodbye and everything in between",2,5,14,219
769,1469,father of the bride,2,5,14,219
770,1475,sex and the city,2,5,14,219
771,1480,jerry &amp; marge go large,0,2,1,281
772,1485,licorice pizza,2,5,14,219
773,1487,glee,2,5,6,244
774,1488,oppenheimer,0,5,15,254
775,1489,one tree hill,3,10,5,299
776,1491,band of brothers,3,11,2,309
777,1494,verdens verste menneske,2,5,14,219
778,1497,pam &amp; tommy,0,5,14,477
779,1502,orange is the new black,2,14,1,11
780,1505,bohemian rhapsody,0,5,6,448
781,1527,boy meets world,2,5,3,103
782,1543,sing 2,4,1,0,30
783,1550,the bob's burgers movie,4,1,0,30
784,1553,the bad guys,4,1,0,30
785,1600,the goonies,1,2,3,34
786,1646,inglourious basterds,1,5,2,498
787,1661,billy the kid,1,5,14,392
788,1666,the grand budapest hotel,1,2,16,398
789,1669,777 charlie,1,2,1,21
790,1673,thelma &amp; louise,1,14,1,461
791,1707,kingsman: the secret service,10,1,0,149
792,1709,baywatch,10,1,16,420
793,1713,birds of prey and the fantabulous emancipation of one harley quinn,10,1,0,149
794,1721,the blue lagoon,1,5,14,392
795,1725,the parent trap,1,2,1,21
796,1727,the lion king,4,1,1,486
797,1731,the railway children return,1,5,3,174
798,1738,casino royale,10,1,7,104
799,1745,the revenant,10,1,1,328
800,1749,cruella,1,2,16,398
801,1750,speed,10,1,7,104
802,1752,cars,4,1,0,30
